artists,name,ranking,year
Rodney Atkins,IF YOU'RE GOING THROUGH HELL (BEFORE THE DEVIL EVEN KNOWS),1,2006
Brad Paisley,THE WORLD,2,2006
Kenny Chesney,SUMMERTIME,3,2006
Rascal Flatts,WHAT HURTS THE MOST,4,2006
Carrie Underwood,"JESUS, TAKE THE WHEEL",5,2006
Josh Turner,WOULD YOU GO WITH ME,6,2006
Keith Urban,TONIGHT I WANNA CRY,7,2006
The Wreckers,LEAVE THE PIECES,8,2006
Bon Jovi Duet With Jennifer Nettles,WHO SAYS YOU CAN'T GO HOME,9,2006
Jason Aldean,WHY,10,2006
Little Big Town,BRING IT ON HOME,11,2006
Steve Holy,BRAND NEW GIRLFRIEND,12,2006
Carrie Underwood,DON'T FORGET TO REMEMBER ME,13,2006
George Strait,GIVE IT AWAY,14,2006
Toby Keith,A LITTLE TOO LATE,15,2006
LeAnn Rimes,SOMETHING'S GOTTA GIVE,16,2006
Phil Vassar,LAST DAY OF MY LIFE,17,2006
Keith Anderson,EVERY TIME I HEAR YOUR NAME,18,2006
Dierks Bentley,SETTLE FOR A SLOWDOWN,19,2006
Tim McGraw,WHEN THE STARS GO BLUE,20,2006
Josh Turner,YOUR MAN,21,2006
Brad Paisley Featuring Dolly Parton,WHEN I GET WHERE I'M GOING,22,2006
Gary Allan,LIFE AIN'T ALWAYS BEAUTIFUL,23,2006
Montgomery Gentry,SHE DON'T TELL ME TO,24,2006
Jack Ingram,WHEREVER YOU ARE,25,2006
Blake Shelton,NOBODY BUT ME,26,2006
Brooks & Dunn,BELIEVE,27,2006
Kenny Chesney,LIVING IN FAST FORWARD,28,2006
Brooks & Dunn With Sheryl Crow & Vince Gill,BUILDING BRIDGES,29,2006
Heartland,I LOVED HER FIRST,30,2006
Toby Keith,GET DRUNK AND BE SOMEBODY,31,2006
Dierks Bentley,EVERY MILE A MEMORY,32,2006
Joe Nichols,SIZE MATTERS (SOMEDAY),33,2006
Billy Currington,MUST BE DOIN' SOMETHIN' RIGHT,34,2006
Trace Adkins,HONKY TONK BADONKADONK,35,2006
George Strait,SHE LET HERSELF GO,36,2006
Carrie Underwood,BEFORE HE CHEATS,37,2006
Rascal Flatts,ME AND MY GANG,38,2006
Kenny Chesney,YOU SAVE ME,39,2006
Keith Urban,ONCE IN A LIFETIME,40,2006
Sugarland,JUST MIGHT (MAKE ME BELIEVE),41,2006
Faith Hill,THE LUCKY ONE,42,2006
Sara Evans,CHEATIN',43,2006
Faith Hill,SUNSHINE AND SUMMERTIME,44,2006
Sugarland,WANT TO,45,2006
Billy Currington,"WHY, WHY, WHY",46,2006
Garth Brooks,GOOD RIDE COWBOY,47,2006
Tim McGraw,MY OLD FRIEND,48,2006
Faith Hill,LIKE WE NEVER LOVED AT ALL,49,2006
Rascal Flatts,MY WISH,50,2006
Dierks Bentley,COME A LITTLE CLOSER,51,2006
Pat Green,FEELS JUST LIKE IT SHOULD,52,2006
George Strait,THE SEASHORES OF OLD MEXICO,53,2006
Craig Morgan,I GOT YOU,54,2006
Kenny Chesney,WHO YOU'D BE TODAY,55,2006
Tim McGraw,MY LITTLE GIRL,56,2006
Joe Nichols,TEQUILA MAKES HER CLOTHES FALL OFF,57,2006
Danielle Peck,FINDIN' A GOOD MAN,58,2006
Lonestar,MOUNTAINS,59,2006
Jack Ingram,LOVE YOU,60,2006
Rodney Atkins,WATCHING YOU,1,2007
Billy Currington,GOOD DIRECTIONS,2,2007
Kenny Chesney,NEVER WANTED NOTHING MORE,3,2007
Rodney Atkins,THESE ARE MY PEOPLE,4,2007
Rascal Flatts,TAKE ME THERE,5,2007
Big & Rich,LOST IN THIS MOMENT,6,2007
Carrie Underwood,WASTED,7,2007
Tim McGraw,IF YOU'RE READING THIS,8,2007
Dierks Bentley,FREE AND EASY (DOWN THE ROAD I GO),9,2007
Sugarland,SETTLIN',10,2007
Rascal Flatts,STAND,11,2007
George Strait,IT JUST COMES NATURAL,12,2007
Emerson Drive,MOMENTS,13,2007
Martina McBride,ANYWAY,14,2007
Montgomery Gentry,LUCKY MAN,15,2007
Tracy Lawrence,FIND OUT WHO YOUR FRIENDS ARE,16,2007
Tim McGraw,LAST DOLLAR (FLY AWAY),17,2007
Toby Keith,LOVE ME IF YOU CAN,18,2007
Alan Jackson,A WOMAN'S LOVE,19,2007
Brad Paisley,TICKS,20,2007
George Strait,WRAPPED,21,2007
Keith Urban,I TOLD YOU SO,22,2007
Toby Keith,HIGH MAINTENANCE WOMAN,23,2007
Kenny Chesney,BEER IN MEXICO,24,2007
Trace Adkins,LADIES LOVE COUNTRY BOYS,25,2007
Brooks & Dunn,PROUD OF THE HOUSE WE BUILT,26,2007
Jason Michael Carroll,LIVIN' OUR LOVE SONG,27,2007
Taylor Swift,TEARDROPS ON MY GUITAR,28,2007
Keith Urban,STUPID BOY,29,2007
Brad Paisley,SHE'S EVERYTHING,30,2007
Luke Bryan,ALL MY FRIENDS SAY,31,2007
Brad Paisley,ONLINE,32,2007
Reba McEntire Duet With Kelly Clarkson,BECAUSE OF YOU,33,2007
Bucky Covington,A DIFFERENT WORLD,34,2007
Jake Owen,STARTIN' WITH ME,35,2007
Joe Nichols,I'LL WAIT FOR YOU,36,2007
Carrie Underwood,SO SMALL,37,2007
Jason Aldean,JOHNNY CASH,38,2007
Kenny Chesney,DON'T BLINK,39,2007
Clay Walker,FALL,40,2007
Rascal Flatts,MY WISH,41,2007
Dierks Bentley,LONG TRIP ALONE,42,2007
Garth Brooks,MORE THAN A MEMORY,43,2007
Jason Michael Carroll,ALYSSA LIES,44,2007
Tim McGraw With Faith Hill,I NEED YOU,45,2007
Craig Morgan,TOUGH,46,2007
Gary Allan,A FEELIN' LIKE THAT,47,2007
Sugarland,WANT TO,48,2007
Sugarland,EVERYDAY AMERICA,49,2007
Craig Morgan,LITTLE BIT OF LIFE,50,2007
Carrie Underwood,BEFORE HE CHEATS,51,2007
Jason Aldean,AMARILLO SKY,52,2007
Josh Turner,FIRECRACKER,53,2007
Tim McGraw,MY LITTLE GIRL,54,2007
Kellie Pickler,I WONDER,55,2007
George Strait,HOW 'BOUT THEM COWGIRLS,56,2007
Miranda Lambert,FAMOUS IN A SMALL TOWN,57,2007
Blake Shelton,DON'T MAKE ME,58,2007
Taylor Swift,TIM MCGRAW,59,2007
Sara Evans,AS IF,60,2007
James Otto,JUST GOT STARTED LOVIN' YOU,1,2008
George Strait,I SAW GOD TODAY,2,2008
Alan Jackson,SMALL TOWN SOUTHERN MAN,3,2008
Darius Rucker,DON'T THINK I DON'T THINK ABOUT IT,4,2008
Blake Shelton,HOME,5,2008
Phil Vassar,LOVE IS A BEAUTIFUL THING,6,2008
Trace Adkins,YOU'RE GONNA MISS THIS,7,2008
Keith Anderson,I STILL MISS YOU,8,2008
Rodney Atkins,CLEANING THIS GUN (COME ON IN BOY),9,2008
Brad Paisley,I'M STILL A GUY,10,2008
Toby Keith,SHE NEVER CRIED IN FRONT OF ME,11,2008
Alan Jackson,GOOD TIME,12,2008
Jimmy Wayne,DO YOU BELIEVE ME NOW,13,2008
Chris Cagle,WHAT KINDA GONE,14,2008
Kenny Chesney With The Wailers,EVERYBODY WANTS TO GO TO HEAVEN,15,2008
Carrie Underwood,JUST A DREAM,16,2008
Keith Urban,YOU LOOK GOOD IN MY SHIRT,17,2008
Lady Antebellum,LOVE DON'T LIVE HERE,18,2008
Brad Paisley,WAITIN' ON A WOMAN,19,2008
Rascal Flatts,EVERY DAY,20,2008
Montgomery Gentry,BACK WHEN I KNEW IT ALL,21,2008
Rascal Flatts,WINNER AT A LOSING GAME,22,2008
Kenny Chesney,BETTER AS A MEMORY,23,2008
Carrie Underwood,ALL-AMERICAN GIRL,24,2008
Brad Paisley,LETTER TO ME,25,2008
Gary Allan,WATCHING AIRPLANES,26,2008
Carrie Underwood,LAST NAME,27,2008
Sugarland,ALL I WANT TO DO,28,2008
Taylor Swift,SHOULD'VE SAID NO,29,2008
Brooks & Dunn,PUT A GIRL IN IT,30,2008
Taylor Swift,PICTURE TO BURN,31,2008
Chuck Wicks,STEALING CINDERELLA,32,2008
The Lost Trailers,HOLLER BACK,33,2008
George Strait,TROUBADOUR,34,2008
Jason Aldean,LAUGHED UNTIL WE CRIED,35,2008
Dierks Bentley,TRYING TO STOP YOUR LEAVING,36,2008
Billy Ray Cyrus With Miley Cyrus,"READY, SET, DON'T GO",37,2008
Kenny Chesney Duet With George Strait,SHIFTWORK,38,2008
Taylor Swift,OUR SONG,39,2008
Luke Bryan,COUNTRY MAN,40,2008
Miranda Lambert,GUNPOWDER & LEAD,41,2008
Kid Rock,ALL SUMMER LONG,42,2008
Montgomery Gentry,WHAT DO YA THINK ABOUT THAT,43,2008
Sugarland,STAY,44,2008
Tim McGraw,LET IT GO,45,2008
Josh Gracin,WE WEREN'T CRAZY,46,2008
Keith Urban,EVERYBODY,47,2008
Bucky Covington,IT'S GOOD TO BE US,48,2008
Zac Brown Band,CHICKEN FRIED,49,2008
Craig Morgan,LOVE REMEMBERS,50,2008
Bucky Covington,I'LL WALK,51,2008
Brooks & Dunn,GOD MUST BE BUSY,52,2008
Montgomery Gentry,ROLL WITH ME,53,2008
Heidi Newfield,JOHNNY & JUNE,54,2008
Taylor Swift,LOVE STORY,55,2008
Josh Turner Featuring Trisha Yearwood,ANOTHER TRY,56,2008
Jamey Johnson,IN COLOR,57,2008
Craig Morgan,INTERNATIONAL HARVESTER,58,2008
Jewel,STRONGER WOMAN,59,2008
Toby Keith,GET MY DRINK ON,60,2008
Lady Antebellum,I RUN TO YOU,1,2009
Zac Brown Band,WHATEVER IT IS,2,2009
Randy Houser,BOOTS ON,3,2009
Darius Rucker,IT WON'T BE LIKE THIS FOR LONG,4,2009
George Strait,RIVER OF LOVE,5,2009
Dierks Bentley,SIDEWAYS,6,2009
Billy Currington,PEOPLE ARE CRAZY,7,2009
Darius Rucker,ALRIGHT,8,2009
Keith Urban,SWEET THING,9,2009
Jason Aldean,BIG GREEN TRACTOR,10,2009
Justin Moore,SMALL TOWN USA,11,2009
Chris Young,GETTIN' YOU HOME (THE BLACK DRESS SONG),12,2009
Taylor Swift,YOU BELONG WITH ME,13,2009
Jason Aldean,SHE'S COUNTRY,14,2009
Brad Paisley,THEN,15,2009
Brooks & Dunn Featuring Reba McEntire,COWGIRLS DON'T CRY,16,2009
Rodney Atkins,IT'S AMERICA,17,2009
Toby Keith,GOD LOVE HER,18,2009
Keith Urban,ONLY YOU CAN LOVE ME THIS WAY,19,2009
Rascal Flatts,SUMMER NIGHTS,20,2009
George Strait,LIVING FOR THE NIGHT,21,2009
Toby Keith,AMERICAN RIDE,22,2009
Blake Shelton,I'LL JUST HOLD ON,23,2009
Brad Paisley,WELCOME TO THE FUTURE,24,2009
Keith Urban,KISS A GIRL,25,2009
Jake Owen,DON'T THINK I CAN'T LOVE YOU,26,2009
Taylor Swift,WHITE HORSE,27,2009
Carrie Underwood Featuring Randy Travis,I TOLD YOU SO,28,2009
Zac Brown Band,TOES,29,2009
Kenny Chesney With Mac McAnally,DOWN THE ROAD,30,2009
Dierks Bentley,FEEL THAT FIRE,31,2009
Kenny Chesney,OUT LAST NIGHT,32,2009
Sugarland,IT HAPPENS,33,2009
Rascal Flatts,HERE COMES GOODBYE,34,2009
Blake Shelton,SHE WOULDN'T BE GONE,35,2009
Love And Theft,RUNAWAY,36,2009
Kellie Pickler,BEST DAYS OF YOUR LIFE,37,2009
Darryl Worley,SOUNDS LIKE LIFE TO ME,38,2009
