artists,name,ranking,year
Baauer,HARLEM SHAKE,1,2013
Daft Punk Featuring Pharrell Williams,GET LUCKY,2,2013
Avicii,WAKE ME UP!,3,2013
Icona Pop Featuring Charli XCX,I LOVE IT,4,2013
Zedd Featuring Foxes,CLARITY,5,2013
will.i.am & Britney Spears,SCREAM & SHOUT,6,2013
Pitbull Featuring Christina Aguilera,FEEL THIS MOMENT,7,2013
Lady Gaga,APPLAUSE,8,2013
Calvin Harris Featuring Ellie Goulding,I NEED YOUR LOVE,9,2013
Swedish House Mafia Featuring John Martin,DON'T YOU WORRY CHILD,10,2013
Lana Del Rey & Cedric Gervais,SUMMERTIME SADNESS,11,2013
Calvin Harris Featuring Florence Welch,SWEET NOTHING,12,2013
will.i.am Featuring Justin Bieber,#THATPOWER,13,2013
PSY,GENTLEMAN,14,2013
Krewella,ALIVE,15,2013
PSY,GANGNAM STYLE,16,2013
Britney Spears,WORK B**CH!,17,2013
Rihanna Featuring David Guetta,RIGHT NOW,18,2013
"Major Lazer Featuring Bruno Mars, Tyga & Mystic",BUBBLE BUTT,19,2013
Hadouken!,LEVITATE,20,2013
David Guetta Featuring Ne-Yo & Akon,PLAY HARD,21,2013
Zedd Featuring Hayley Williams,STAY THE NIGHT,22,2013
Armin van Buuren Featuring Trevor Guthrie,THIS IS WHAT IT FEELS LIKE,23,2013
Jennifer Lopez Featuring Pitbull,LIVE IT UP,24,2013
Martin Garrix,ANIMALS,25,2013
Nikki Williams,GLOWING,26,2013
Avicii vs Nicky Romero,I COULD BE THE ONE,27,2013
Daft Punk Featuring Pharrell Williams,LOSE YOURSELF TO DANCE,28,2013
Enrique Iglesias,TURN THE NIGHT UP,29,2013
"Fergie, Q-Tip & GoonRock",A LITTLE PARTY NEVER KILLED NOBODY (ALL WE GOT),30,2013
Ne-Yo,LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE YOURSELF),31,2013
Krewella,LIVE FOR THE NIGHT,32,2013
Afrojack Featuring Chris Brown,AS YOUR FRIEND,33,2013
Icona Pop,ALL NIGHT,34,2013
Ludacris Featuring Usher & David Guetta,REST OF MY LIFE,35,2013
Arianna Featuring Pitbull,SEXY PEOPLE (THE FIAT SONG),36,2013
Sebastian Ingrosso/Tommy Trash/John Martin,RELOAD,37,2013
Daft Punk Featuring Panda Bear,DOIN' IT RIGHT,38,2013
Cazzette,BEAM ME UP (KILL-MODE),39,2013
Zedd Featuring Matthew Koma,SPECTRUM,40,2013
David Guetta Featuring Sia,SHE WOLF (FALLING TO PIECES),41,2013
Daft Punk Featuring Julian Casablancas,INSTANT CRUSH,42,2013
Ne-Yo,FOREVER NOW,43,2013
Avicii,YOU MAKE ME,44,2013
will.i.am Featuring Miley Cyrus,FALL DOWN,45,2013
Linkin Park X Steve Aoki,A LIGHT THAT NEVER COMES,46,2013
Bingo Players Featuring Far East Movement,GET UP (RATTLE),47,2013
Calvin Harris Featuring Ayah Marar,THINKING ABOUT YOU,48,2013
TNGHT,HIGHER GROUND,49,2013
Avicii,HEY BROTHER,50,2013
Daft Punk,GIVE LIFE BACK TO MUSIC,51,2013
Hardwell Featuring Mitch Crown,CALL ME A SPACEMAN,52,2013
Kaskade,ATMOSPHERE,53,2013
Disclosure Featuring Sam Smith,LATCH,54,2013
Priyanka Chopra Featuring Pitbull,EXOTIC,55,2013
"Steve Aoki, Chris Lake & Tujamo",BONELESS,56,2013
Daft Punk,GIORGIO BY MORODER,57,2013
Cher,WOMAN'S WORLD,58,2013
Cash Cash Featuring Bebe Rexha,TAKE ME HOME,59,2013
Swedish House Mafia,GREYHOUND,60,2013
DJ Fresh Featuring Sian Evans,LOUDER,61,2013
Hardwell Featuring Amba Shepherd,APOLLO,62,2013
NERVO,HOLD ON,63,2013
"Major Lazer Featuring Busy Signal, The Flexican & FS Green",WATCH OUT FOR THIS (BUMAYE),64,2013
C2C,DOWN THE ROAD,65,2013
Tiesto Featuring Kyler England,TAKE ME,66,2013
Calvin Harris Featuring Tinie Tempah,DRINKING FROM THE BOTTLE,67,2013
Daft Punk,CONTACT,68,2013
