artists,name,ranking,year
Yung Joc,IT'S GOIN' DOWN,1,2006
Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,SNAP YO FINGERS,2,2006
Dem Franchize Boyz Featuring Lil Peanut & Charlay,"LEAN WIT IT, ROCK WIT IT",3,2006
"Nelly Featuring Paul Wall, Ali & Gipp",GRILLZ,4,2006
T.I.,WHAT YOU KNOW,5,2006
Chingy Featuring Tyrese,PULLIN' ME BACK,6,2006
Field Mob Featuring Ciara,SO WHAT,7,2006
Sean Paul,TEMPERATURE,8,2006
Young Dro Featuring T.I.,SHOULDER LEAN,9,2006
Chamillionaire Featuring Krayzie Bone,RIDIN',10,2006
E-40 Featuring T-Pain & Kandi Girl,U AND DAT,11,2006
Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,MS. NEW BOOTY,12,2006
Ludacris Featuring Pharrell,MONEY MAKER,13,2006
Sean Paul Featuring Keyshia Cole,(WHEN YOU GONNA) GIVE IT UP TO ME,14,2006
T.I.,WHY YOU WANNA,15,2006
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I KNOW YOU SEE IT,16,2006
Busta Rhymes,TOUCH IT,17,2006
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I THINK THEY LIKE ME,18,2006
Juelz Santana,THERE IT GO! (THE WHISTLE SONG),19,2006
Shawnna,GETTIN' SOME,20,2006
Three 6 Mafia Featuring Young Buck & Eightball & MJG,STAY FLY,21,2006
Young Jeezy Featuring Akon,SOUL SURVIVOR,22,2006
Bow Wow Featuring J-Kwon & Jermaine Dupri,FRESH AZIMIZ,23,2006
D4L,LAFFY TAFFY,24,2006
Purple Ribbon All-Stars,KRYPTONITE (I'M ON IT),25,2006
Lil Wayne Featuring Static Major,LOLLIPOP,1,2008
Flo Rida Featuring T-Pain,LOW,2,2008
Plies Featuring Ne-Yo,BUST IT BABY PART 2,3,2008
T.I.,WHATEVER YOU LIKE,4,2008
Iggy Azalea Featuring Charli XCX,FANCY,1,2014
J. Cole Featuring Miguel,POWER TRIP,1,2013
B.o.B Featuring Bruno Mars,NOTHIN' ON YOU,1,2010
Fabolous Featuring Ne-Yo,MAKE ME BETTER,1,2007
Plies Featuring T-Pain,SHAWTY,2,2007
Mims,THIS IS WHY I'M HOT,3,2007
Lil Wayne,A MILLI,5,2008
Webbie Featuring Lil' Phat & Lil' Boosie,INDEPENDENT,6,2008
Lil Wayne Featuring T-Pain,GOT MONEY,7,2008
David Banner Featuring Chris Brown,GET LIKE ME,8,2008
Young Jeezy Featuring Kanye West,PUT ON,9,2008
Rick Ross Featuring T-Pain,THE BOSS,10,2008
Kanye West Featuring T-Pain,GOOD LIFE,11,2008
Pitbull Featuring Ke$ha,TIMBER,2,2014
Eminem Featuring Rihanna,THE MONSTER,3,2014
Iggy Azalea Featuring Rita Ora,BLACK WIDOW,4,2014
Nicki Minaj,ANACONDA,5,2014
Kid Ink Featuring Chris Brown,SHOW ME,6,2014
Bobby Shmurda,HOT BOY,7,2014
Becky G,SHOWER,8,2014
YG Featuring Jeezy & Rich Homie Quan,MY HITTA,9,2014
Rich Gang Featuring Young Thug & Rich Homie Quan,LIFESTYLE,10,2014
T.I. Featuring Iggy Azalea,NO MEDIOCRE,11,2014
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23,12,2014
Drake,BEST I EVER HAD,1,2009
Drake Featuring Lil Wayne,THE MOTTO,1,2012
"""Kanye West, Big Sean, Pusha T, 2 Chainz""",MERCY,2,2012
Jay Z Kanye West,NI**AS IN PARIS,3,2012
Wale Featuring Tiara Thomas Or Rihanna,BAD,2,2013
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",F**KIN PROBLEMS,3,2013
Jay Z Featuring Justin Timberlake,HOLY GRAIL,4,2013
Kendrick Lamar Featuring Drake,POETIC JUSTICE,5,2013
Drake,STARTED FROM THE BOTTOM,6,2013
Lil Wayne Featuring Drake & Future,LOVE ME,7,2013
J. Cole Featuring TLC,CROOKED SMILE,8,2013
Kendrick Lamar,SWIMMING POOLS (DRANK),9,2013
Kendrick Lamar,"BITCH, DON'T KILL MY VIBE",10,2013
Macklemore & Ryan Lewis Featuring Ray Dalton,CAN'T HOLD US,11,2013
B.o.B Featuring T.I. & Juicy J,WE STILL IN THIS B****,12,2013
Macklemore & Ryan Lewis Featuring Wanz,THRIFT SHOP,13,2013
Young Money Featuring Lloyd,BEDROCK,2,2010
Drake,OVER,3,2010
Ludacris,HOW LOW,4,2010
Timbaland Featuring Drake,SAY SOMETHING,5,2010
Ludacris Featuring Nicki Minaj,MY CHICK BAD,6,2010
