artists,name,ranking,year
Kings Of Leon,USE SOMEBODY,1,2009
Shinedown,SECOND CHANCE,2,2009
Linkin Park,NEW DIVIDE,3,2009
Kings Of Leon,SEX ON FIRE,4,2009
Silversun Pickups,PANIC SWITCH,5,2009
Apocalyptica Featuring Adam Gontier,I DON'T CARE,6,2009
Anberlin,FEEL GOOD DRAG,7,2009
Shinedown,SOUND OF MADNESS,8,2009
Papa Roach,LIFELINE,9,2009
Green Day,KNOW YOUR ENEMY,10,2009
Incubus,LOVE HURTS,11,2009
Mudvayne,DO WHAT YOU DO,12,2009
Cage The Elephant,AIN'T NO REST FOR THE WICKED,13,2009
Chevelle,JARS,14,2009
The Offspring,"YOU'RE GONNA GO FAR, KID",15,2009
Pearl Jam,THE FIXER,16,2009
Seether,BREAKDOWN,17,2009
Alice In Chains,CHECK MY BRAIN,18,2009
MGMT,KIDS,19,2009
Disturbed,INDESTRUCTIBLE,20,2009
Seether,CARELESS WHISPER,21,2009
Nickelback,SOMETHING IN YOUR MOUTH,22,2009
The Airborne Toxic Event,SOMETIME AROUND MIDNIGHT,23,2009
Green Day,21 GUNS,24,2009
Cavo,CHAMPAGNE,25,2009
Sick Puppies,YOU'RE GOING DOWN,26,2009
Nickelback,BURN IT TO THE GROUND,27,2009
Metallica,CYANIDE,28,2009
Breaking Benjamin,I WILL NOT BOW,29,2009
Godsmack,WHISKEY HANGOVER,30,2009
Disturbed,THE NIGHT,31,2009
Rise Against,AUDIENCE OF ONE,32,2009
Muse,UPRISING,33,2009
Rise Against,SAVIOR,34,2009
Slipknot,DEAD MEMORIES,35,2009
Theory Of A Deadman,HATE MY LIFE,36,2009
Kings Of Leon,NOTION,37,2009
Weezer,(IF YOU'RE WONDERING IF I WANT YOU TO) I WANT YOU TO,38,2009
Three Days Grace,BREAK,39,2009
Pearl Jam,BROTHER,40,2009
Paramore,DECODE,41,2009
Foo Fighters,WHEELS,42,2009
Saving Abel,DROWNING (FACE DOWN),43,2009
Halestorm,I GET OFF,44,2009
The Veer Union,SEASONS,45,2009
Franz Ferdinand,NO YOU GIRLS,46,2009
Theory Of A Deadman,BAD GIRLFRIEND,47,2009
Saving Abel,18 DAYS,48,2009
Creed,OVERCOME,49,2009
AC/DC,ROCK N ROLL TRAIN,50,2009
Rise Against,SAVIOR,1,2010
Muse,UPRISING,2,2010
Breaking Benjamin,I WILL NOT BOW,3,2010
Three Days Grace,BREAK,4,2010
The Dirty Heads Featuring Rome,LAY ME DOWN,5,2010
Phoenix,1901,6,2010
Weezer,(IF YOU'RE WONDERING IF I WANT YOU TO) I WANT YOU TO,7,2010
Alice In Chains,YOUR DECISION,8,2010
Three Days Grace,THE GOOD LIFE,9,2010
Phoenix,LISZTOMANIA,10,2010
Muse,RESISTANCE,11,2010
Neon Trees,ANIMAL,12,2010
Shinedown,IF YOU ONLY KNEW,13,2010
Shinedown,THE CROW & THE BUTTERFLY,14,2010
Avenged Sevenfold,NIGHTMARE,15,2010
Thirty Seconds To Mars,KINGS AND QUEENS,16,2010
Disturbed,ANOTHER WAY TO DIE,17,2010
Stone Temple Pilots,BETWEEN THE LINES,18,2010
Pearl Jam,JUST BREATHE,19,2010
Stone Sour,SAY YOU'LL HAUNT ME,20,2010
Slipknot,SNUFF,21,2010
Thirty Seconds To Mars,THIS IS WAR,22,2010
Chevelle,LETTER FROM A THIEF,23,2010
Cage The Elephant,IN ONE EAR,24,2010
Godsmack,CRYIN' LIKE A BITCH!,25,2010
Flyleaf,AGAIN,26,2010
Mumford & Sons,LITTLE LION MAN,27,2010
The Black Keys,TIGHTEN UP,28,2010
Five Finger Death Punch,BAD COMPANY,29,2010
Foo Fighters,WHEELS,30,2010
Sick Puppies,ODD ONE,31,2010
Cage The Elephant,BACK AGAINST THE WALL,32,2010
Ozzy Osbourne,LET ME HEAR YOU SCREAM,33,2010
Papa Roach,KICK IN THE TEETH,34,2010
Breaking Benjamin,GIVE ME A SIGN (FOREVER AND EVER),35,2010
Sick Puppies,YOU'RE GOING DOWN,36,2010
Alice In Chains,CHECK MY BRAIN,37,2010
Godsmack,LOVE-HATE-SEX-PAIN,38,2010
Brandon Flowers,CROSSFIRE,39,2010
Linkin Park,THE CATALYST,40,2010
Alice In Chains,LESSON LEARNED,41,2010
Mudvayne,SCREAM WITH ME,42,2010
Crash Kings,MOUNTAIN MAN,43,2010
Them Crooked Vultures,NEW FANG,44,2010
The Temper Trap,SWEET DISPOSITION,45,2010
Jack Johnson,YOU AND YOUR HEART,46,2010
Broken Bells,THE HIGH ROAD,47,2010
Kings Of Leon,RADIOACTIVE,48,2010
Puddle Of Mudd,SPACESHIP,49,2010
Apocalyptica Featuring Gavin Rossdale,END OF ME,50,2010
Foo Fighters,ROPE,1,2011
