artist,gender,category
12 Gauge,male,African-American_male_rappers
1987,male,Swedish_male_singers
2 Chainz,male,African-American_male_rappers
2 Pistols,male,African-American_male_rappers
21 Savage,male,African-American_male_rappers
40 Cal.,male,African-American_male_rappers
40 Glocc,male,African-American_male_rappers
50 Cent,male,African-American_male_rappers
6 Tre G,male,American_male_rappers
60 Second Assassin,male,African-American_male_rappers
6LACK,male,African-American_male_rappers
88-Keys,male,African-American_male_rappers
9th Prince,male,African-American_male_rappers
9th Wonder,male,African-American_male_rappers
A Boogie wit da Hoodie,male,African-American_male_rappers
A Girl Called Eddy,female,American_female_singer-songwriters
A'Me Lorain,female,American_female_singers
A+,male,African-American_male_rappers
A-L-X,male,Scottish_male_singers
A-Plus,male,African-American_male_rappers
A. A. Bondy,male,American_country_singers
A. C. Newman,male,Canadian_male_singers
A. J. Croce,male,American_male_singer-songwriters
A. J. Ghent,male,American_male_guitarists
A. J. Masters,male,American_country_singers
A. L. Lloyd,male,English_male_singers
A. P. Carter,male,American_country_singers
A. P. Thompson,male,American_male_guitarists
A.B. Quintanilla,male,American_male_guitarists
A.C. Marias,female,British_female_singers
A.D.O.R.,male,American_male_rappers
A.J. Trauth,male,American_male_guitarists
"A.L. ""Doodle"" Owens",male,American_country_singers
AJ McLean,male,American_male_pop_singers
AJ Michalka,female,American_female_guitarists
AM,male,American_male_guitarists
AMG,male,African-American_male_rappers
AR-Ab,male,African-American_male_rappers
ASAP Ferg,male,African-American_male_rappers
ASAP Nast,male,African-American_male_rappers
ASAP Rocky,male,African-American_male_rappers
ASAP Twelvyy,male,African-American_male_rappers
ASAP TyY,male,African-American_male_rappers
AZ,male,African-American_male_rappers
Aaliyah,female,African-American_female_singers
Aaradhna,female,New_Zealand_female_pop_singers
Aaron Barker,male,American_country_singers
Aaron Barrett,male,American_male_guitarists
Aaron Bedard,male,American_male_singers
Aaron Benward,male,American_country_singers
Aaron Bertram,male,American_male_singers
Aaron Bruno,male,American_male_singers
Aaron Carter,male,American_male_singer-songwriters
Aaron Dalbec,male,American_male_guitarists
Aaron Deer,male,American_male_singer-songwriters
Aaron Dessner,male,American_male_guitarists
Aaron Dugan,male,American_male_guitarists
Aaron Gillespie,male,American_male_guitarists
Aaron Goldstein,male,Canadian_male_singers
Aaron Hall,male,African-American_male_singers
Aaron Kelly,male,American_country_singers
Aaron Lee Tasjan,male,American_male_guitarists
Aaron Lewis,male,American_country_singers
Aaron Lines,male,Canadian_male_singers
Aaron Nagel,male,American_male_guitarists
Aaron North,male,American_male_guitarists
Aaron Pauley,male,American_male_singers
Aaron Pritchett,male,Canadian_male_singers
Aaron Riches,male,Canadian_male_singers
Aaron Roterfeld,male,Male_songwriters
Aaron Shearer,male,American_male_guitarists
Aaron Stainthorpe,male,English_male_singers
Aaron Tap,male,American_male_guitarists
Aaron Tippin,male,American_country_singers
Aaron Turner,male,American_male_guitarists
Aaron Walpole,male,Canadian_male_singers
Aaron Watson,male,American_country_singers
Aaron Weistrop,male,American_male_guitarists
Ab-Soul,male,African-American_male_rappers
Abbe Lane,female,American_female_singers
Abbey Lincoln,female,American_female_jazz_singers
Abby Dobson,female,American_female_singers
Abby Travis,female,American_female_guitarists
Abby Zotz,female,Canadian_female_singers
Abdul Fakir,male,American_male_singers
Abel Carlevaro,male,Male_guitarists
Abel Pintos,male,Male_guitarists
Abel Talamántez,male,American_male_singers
Abeti Masikini,female,French_female_singers
Abi Ann,female,American_female_country_singers
Abi Harding,female,English_female_singers
Abi Phillips,female,English_female_singer-songwriters
Abi Roberts,female,British_female_singers
Abi Tucker,female,Australian_female_singers
Abigail,female,Australian_female_singers
Abigail Washburn,female,American_female_singers
Abner Jay,male,American_male_singers
Abra Moore,female,American_female_country_singers
Abraham Quintanilla Jr.,male,American_male_singers
Abu Talib,male,American_male_guitarists
Abyale,female,French_female_singers
Abz Love,male,English_male_singers
Ace Andres,male,American_male_guitarists
Ace Enders,male,American_male_guitarists
Ace Frehley,male,American_male_guitarists
Ace Hood,male,African-American_male_rappers
Ace Kefford,male,English_male_singers
Ace Von Johnson,male,American_male_guitarists
Ace Wilder,female,Swedish_female_singers
Acey Slade,male,American_male_guitarists
Action Bronson,male,American_male_rappers
Ad Sluijter,male,Male_guitarists
Ad-Rock,male,American_male_guitarists
Ada Blanche,female,English_female_singers
Ada Brown,female,American_female_singers
